sc,LocId,net_present_kwh,total_npc_usd,breakeven_usd_per_kwh
0,dwpt_1641,11838245.183044236,2385529.6533533796,0.20151041108441836
0,dwpt_564,19259872.78634769,3249983.053480302,0.16874374454768173
0,stn_100_South_Ogden,5025306.317826469,343340.81637291855,0.0683223657739971
0,stn_102_Riverton,19473297.259944238,1870405.7125249775,0.09604976946417411
0,stn_103_Cottonwood_Heights,6414275.683390207,612726.4070521193,0.09552542442769911
0,stn_111_Alpine,214498.57188269656,36479.142858031526,0.17006706635781696
0,stn_112_Sunset,113396033.10932021,9683185.628774432,0.08539263114644666
0,stn_115_Clearfield,64279640.97382939,5807229.476298918,0.09034321580394725
0,stn_117_Draper,83283240.82926801,8655984.441814478,0.1039342892474536
0,stn_122_West_Bountiful,131150831.40539925,11975002.813232588,0.09130710560436141
0,stn_126_Harrisville,8214719.003114497,506517.21095821867,0.06165971237314139
0,stn_131_Millcreek,63806774.50122661,6255491.836519949,0.09803805137336466
0,stn_132_Syracuse,34189647.75254207,2428490.958264092,0.07103000814284577
0,stn_136_Provo,81974720.21440282,6665036.9074292015,0.08130600372891746
0,stn_137_Lindon,15622989.809585582,1461583.8674594918,0.09355340336730732
0,stn_141_Kaysville,33626194.20959187,2772926.728222655,0.08246329367334938
0,stn_143_Clinton,7871218.954357222,494158.31377287937,0.06278040499678023
0,stn_147_South_Salt_Lake,68533481.15183419,9783860.715117536,0.14276030562991016
0,stn_14_Taylorsville,12068711.592255479,983640.8090980895,0.08150338182986278
0,stn_151_North_Salt_Lake,197231092.70324162,20337031.584805492,0.10311270553778785
0,stn_157_Farmington,7974200.523898942,563972.3815501989,0.07072462999393545
0,stn_160_Bountiful,7424831.879400928,532965.4142355544,0.07178147908159191
0,stn_167_West_Valley_City,942867989.6209872,111281427.97760783,0.11802439917632647
0,stn_172_Santaquin,8022366.346239567,607539.6034719031,0.07573072298757379
0,stn_174_Eagle_Mountain,46825966.63566333,2870008.37404693,0.0612909584200893
0,stn_181_South_Jordan,14714522.93644312,1541179.9763809643,0.1047386981581278
0,stn_185_Spanish_Fork,98204340.53833012,11404660.438044367,0.11613193852254439
0,stn_18_Cedar_Fort,91028.87041661762,11866.348766936808,0.1303580799435095
0,stn_190_Sandy,15635137.776278079,2063743.5968218737,0.1319939501878278
0,stn_194_Uintah,50188908.31226027,4701935.806711376,0.09368475953805067
0,stn_195_Marriott_Slaterville,65716206.61151303,3770002.119989979,0.05736792055385467
0,stn_198_West_Jordan,12998355.339081896,2137132.792273281,0.16441563078735097
