sc,stationary_cost_case,dynamic_cost_case,batt_cost_kwh,lp_elec_frac,stationary_capex_per_kw,stationary_opex_per_kw_year,stationary_cost_readable,dynamic_capex_per_lane_mile,dynamic_opex_per_lane_mile_year,dynamic_cost_readable,electrification_percent,system_total_npc_usd,system_net_present_kwh,system_usd_per_kwh,location_npc_zone_usd,battery_npc_zone_usd,system_total_npc_for_mile_usd,system_net_present_miles_zone,system_usd_per_mile,n_ev_vehicles,energy_zone_kwh,grid_upgrade_wasatch_kw,grid_upgrade_wasatch_cost_usd,energy_stn_kwh_wasatch,energy_dwpt_kwh_wasatch,energy_total_kwh_wasatch,energy_frac_stn,energy_frac_dwpt
13,2,2,500,0.4,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,40,589370161.2358218,5085936697.160207,0.11588232342036496,589370161.2358218,314257705.0322681,903627866.26809,2563787058.6619387,0.3524582368161655,3514,588607.8819181983,111797.60710520552,29852950.964142945,588085.8892780704,17785.147086883495,605871.036364954,0.970645325458056,0.029354674541943925
14,2,1,500,0.4,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,40,595312647.7892562,5251243595.625363,0.11336603167394319,595312647.7892562,335174416.19120455,930487063.9804608,2608706532.1604104,0.35668522024586424,3514,618721.0313832391,80716.6931540787,24215007.946223624,618351.5556895301,0.0,618351.5556895301,1.0,0.0
15,2,0,500,0.4,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,40,585042993.65845,5186641184.634707,0.11279804652606874,585042993.65845,328652519.62218684,913695513.2806368,2601744672.1700926,0.3511856959117096,3514,609482.7399778208,79963.791489136,23989137.446740802,614510.7866315396,0.0,614510.7866315396,1.0,0.0
16,1,0,500,0.4,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,40,609516785.3174461,5174282592.244274,0.11779735150744378,609516785.3174461,337409506.8711963,946926292.1886425,2598424870.33967,0.3644231946043754,3514,605894.6468257973,78781.64889539,23634494.668616187,613095.3544604153,0.0,613095.3544604153,1.0,0.0
17,1,1,500,0.4,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,40,600563833.9558822,5149878242.774199,0.11661709377275747,600563833.9558822,332465283.5115999,933029117.4674821,2599468521.152156,0.35893072367498335,3514,591663.1689440818,78404.73978839729,23521421.93651918,611185.910543972,1643.3792328153036,612829.2897767874,0.9973183735499752,0.002681626450024731
18,1,1,500,1.0,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,100,2680605147.332337,22193309775.96401,0.12078437936442941,2680605147.332337,1457700783.924366,4138305931.256703,11366756709.119322,0.3640709515614619,8785,2367485.120729051,641625.3576961042,159055598.04848194,2538429.4631853607,86105.08858268987,2624534.5517680505,0.9671922442306259,0.03280775576937408
19,1,1,300,1.0,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,100,2691855268.162685,22871991476.02411,0.11769221193460397,2691855268.162685,960789383.5314516,3652644651.6941366,11392855336.516905,0.3206083588182246,8785,2518155.766644964,492652.4205999953,135721852.8446553,2663600.102780849,46146.58012836754,2709746.6829092167,0.9829701497858007,0.017029850214199362
20,1,2,300,1.0,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,100,2710415532.843153,21812475873.560604,0.12425987533714634,2710415532.843153,882370276.6499717,3592785809.493125,11047528208.265886,0.32521173440453055,8785,2366410.3759682532,1114845.9334120974,225034196.0839026,2390731.078084154,214900.05579901452,2605631.1338831685,0.9175247589712557,0.08247524102874426
21,2,2,300,1.0,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,100,2641535168.4956374,22480649272.43515,0.11750261909626336,2641535168.4956374,916607367.3176732,3558142535.8133106,11269594842.284601,0.3157294104720445,8785,2499776.8501883456,783138.1523370967,188413934.23029056,2514213.5201652013,149088.2131094197,2663301.733274621,0.9440212833391166,0.055978716660883415
22,2,1,300,1.0,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,100,2626665726.211045,23381661833.394176,0.11233870992264486,2626665726.211045,977847470.9188759,3604513197.129921,11484034416.504253,0.3138716818846958,8785,2626349.5410999623,390870.6854996426,116060008.66919832,2742574.9018292436,6314.571697388414,2748889.473526632,0.9977028644628309,0.0022971355371692198
